node,lon,lat,imbalance
108,-97.74029144,30.14850009,0
109,-97.61969219,30.16593614,0
110,-97.82526207,30.30536885,0
111,-97.63913523,30.4720999,0
112,-97.96587058,30.31382096,0
113,-97.84637992,30.49885679,0
114,-97.63946442,30.32584389,0
115,-97.68325844,30.42652876,0
116,-97.63374657,30.32976133,0
117,-97.77847007,30.25287928,0
118,-97.71469506,30.21276407,0
119,-97.78018687,30.21538823,0
120,-97.84039797,30.50011494,0
121,-97.74511457,30.24261594,0
122,-97.82815582,30.32230437,0
123,-97.88676318,30.21536466,0
124,-97.85530483,30.58178891,0
125,-97.70836854,30.52863396,0
126,-97.67156276,30.38286168,0
127,-97.66268874,30.31663311,0
128,-97.71396002,30.2746988,0
129,-97.7633126,30.27249644,0
130,-97.79367682,30.2704213,0
131,-97.95213829,30.45490698,0
132,-98.03693177,30.47038147,0
133,-98.00888034,30.36511022,0
134,-97.647868,30.51299066,0
135,-97.78143229,30.25271351,0
136,-97.68234888,30.32559363,0
137,-97.83366959,30.43084105,0
138,-97.95055582,30.15231986,0
139,-97.51143549,30.35670379,0
140,-97.84128156,30.20022754,0
141,-97.74286241,30.26394668,0
142,-97.69833513,30.26122069,0
143,-97.75492241,30.22247459,0
144,-97.8198083,30.45197882,0
145,-97.72748872,30.35972968,0
146,-97.77499985,30.29301152,0
147,-97.74687525,30.25714366,0
148,-97.93261833,30.45757797,0
149,-97.61384224,30.13253233,0
150,-97.74215031,30.26583552,0
151,-97.85290815,30.47714366,0
152,-97.86547417,30.31782731,0
153,-97.63798027,30.3091452,0
154,-97.75034948,30.28047671,0
155,-97.50234934,30.27760259,0
156,-97.65030906,30.46649957,0
157,-97.78122806,30.22020827,0
158,-97.73693078,30.23651023,0
159,-97.83348189,30.49165675,0
160,-97.65219182,30.53200108,0
161,-97.62962402,30.22186657,0
162,-97.8788079,30.55795481,0
163,-97.5884714,30.45919012,0
164,-98.06700938,30.27073073,0
165,-97.69522361,30.51948646,0
166,-97.73969735,30.43858246,0
167,-98.06429474,30.35269039,0
168,-97.83428355,30.46488983,0
169,-97.81444459,30.29645427,0
170,-97.64525855,30.15654812,0
171,-97.86243651,30.55492106,0
172,-97.73916601,30.51636653,0
173,-97.90804325,30.43703017,0
174,-97.78531584,30.49278553,0
175,-97.73498974,30.4203844,0
176,-97.91118173,30.34807151,0
177,-97.74311642,30.37665015,0
